logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
17.9481205,78.90268725,20.971880829,0.0007168068,0.0961577855,0.615736069,Male/Female,g3262
-6.705511,53.042743,-20.9129088623,0.0007218402,0.0961577855,0.6111206513,Male/Female,g2696
21.365067,27.3284245,20.8442715734,0.0007277612,0.0961577855,0.6057152659,Male/Female,g11523
9.633747,27.4290515,20.8160901911,0.0007302119,0.0961577855,0.6034853939,Male/Female,g3318
-4.1351335,2.69391025,-20.737274127,0.0007371275,0.0961577855,0.5972163112,Male/Female,g5497
-3.758927,5.2018175,-20.7309788921,0.0007376839,0.0961577855,0.5967134966,Male/Female,g6300
75.745281,94.658434,20.7009125252,0.000740349,0.0961577855,0.5943077483,Male/Female,g18592
-20.42012,57.240719,-20.6768359,0.0007424929,0.0961577855,0.5923761517,Male/Female,g15704
-9.7258635,6.83793225,-20.6448500166,0.0007453545,0.0961577855,0.5898029574,Male/Female,g18014
-22.661722,59.738513,-20.591361676,0.0007501744,0.0961577855,0.5854818546,Male/Female,g12984
27.9429895,122.36084175,20.4853071091,0.0007598609,0.0961577855,0.5768466938,Male/Female,g3083
13.9527055,25.37358775,20.4391899561,0.0007641276,0.0961577855,0.5730635387,Male/Female,g20980
9.8558605,28.91693925,20.4293393186,0.0007650434,0.0961577855,0.5722532248,Male/Female,g8660
11.282463,32.456217,20.4196604231,0.0007659446,0.0961577855,0.5714562713,Male/Female,g20921
428.4358975,298.68138875,20.2328639301,0.000783633,0.097808853,0.555925404,Male/Female,g16518
21.2043665,19.14822775,20.1844696812,0.0007883087,0.097808853,0.5518547054,Male/Female,g2384
46.125683,130.2161655,20.1464505658,0.0007920094,0.097808853,0.5486429826,Male/Female,g4019
4.7379135,7.91869075,20.0571929452,0.0008007936,0.0978861693,0.5410549801,Male/Female,g11486
6.8474255,20.55034225,20.0525819402,0.000801251,0.0978861693,0.5406611555,Male/Female,g815
-37.315838,53.8597315,-19.9177783913,0.0008147888,0.0979862103,0.5290673127,Male/Female,g18083
16.025958,8.012979,19.8958579375,0.0008170203,0.0979862103,0.5271672551,Male/Female,g14974
30.827822,52.7442805,19.8814809816,0.0008184886,0.0979862103,0.5259188046,Male/Female,g1145
5.240511,16.7899725,19.817546296,0.0008250629,0.0979862103,0.5203451323,Male/Female,g15443
37.000591,27.78442,19.7486130414,0.0008322342,0.0979862103,0.5142956078,Male/Female,g17886
-10.7962075,28.69769675,-19.7065102949,0.0008366572,0.0979862103,0.5105800949,Male/Female,g1906
27.1630855,39.00549575,19.6164498721,0.0008462294,0.0979862103,0.5025794609,Male/Female,g2586
52.389824,69.458481,19.574612072,0.0008507283,0.0979862103,0.4988380333,Male/Female,g3938
5.5852055,10.28307625,19.5453634977,0.0008538933,0.0979862103,0.4962130483,Male/Female,g17462
-30.960508,15.480254,-19.4944870896,0.0008594381,0.0979862103,0.4916285481,Male/Female,g18190
4.123774,9.923049,19.422183584,0.0008674052,0.0979862103,0.4850726242,Male/Female,g5069
10.8034345,40.83731775,19.4021642648,0.0008696294,0.0979862103,0.4832489475,Male/Female,g12276
6.473224,6.273716,19.3469919127,0.0008758005,0.0979862103,0.4782038253,Male/Female,g16800
5.724818,23.1838985,19.3462386408,0.0008758852,0.0979862103,0.4781347489,Male/Female,g20691
8.6021695,4.81766475,19.3190912138,0.0008789446,0.0979862103,0.4756417576,Male/Female,g11873
30.935439,31.042256,19.2998580235,0.0008811211,0.0979862103,0.4738713896,Male/Female,g1808
-11.3370775,5.66853875,-19.2968447381,0.0008814628,0.0979862103,0.4735937113,Male/Female,g12491
-3.571473,1.7857365,-19.2893146973,0.0008823175,0.0979862103,0.472899437,Male/Female,g3042
-370.831108,406.721531,-19.2457898641,0.0008872804,0.0979862103,0.468876016,Male/Female,g14996
3.703917,24.4514875,19.2367675625,0.000888314,0.0979862103,0.4680397719,Male/Female,g11094
35.6680755,81.11454375,19.1007342138,0.000904105,0.0992462675,0.4553379714,Male/Female,g2291
4.122482,3.6819565,18.9877384625,0.0009175218,0.0995608984,0.4446526489,Male/Female,g14066
-5.5284305,18.64018025,-18.9519173009,0.0009218332,0.0995608984,0.4412394508,Male/Female,g13470
31.756063,52.8820695,18.9325378244,0.0009241775,0.0995608984,0.4393876728,Male/Female,g3463
-320.532019,169.652997,-18.92990045,0.0009244972,0.0995608984,0.4391353784,Male/Female,g18489
-11.866763,16.4456715,-18.8752856766,0.0009311521,0.0996329785,0.4338955318,Male/Female,g15244
12.367992,76.730562,18.8067657255,0.0009395966,0.0996329785,0.42728,Male/Female,g7192
-10.1771895,22.73638575,-18.7678370784,0.000944442,0.0996329785,0.4235007148,Male/Female,g3048
9.46246,28.5120945,18.6545365898,0.0009587447,0.0996329785,0.4124148082,Male/Female,g7845
-2.7988145,2.31497375,-18.5412549442,0.0009733498,0.0996329785,0.4012006614,Male/Female,g2700
128.5910645,182.42085275,18.5129263556,0.0009770507,0.0996329785,0.3983757618,Male/Female,g5257
-7.9814065,5.48649875,-18.4860422923,0.0009805811,0.0996329785,0.395687249,Male/Female,g17561
19.7856985,11.98853575,18.473021567,0.0009822974,0.0996329785,0.3943824357,Male/Female,g6070
17.3407305,30.65912525,18.40621856,0.0009911692,0.0996329785,0.3876603483,Male/Female,g11499
157.7574475,119.09113975,18.4005213946,0.000991931,0.0996329785,0.3870849126,Male/Female,g2115
14.193914,37.761733,18.3918707359,0.0009930893,0.0996329785,0.3862105127,Male/Female,g12731
-17.4466895,32.33446125,-18.3438980993,0.0009995471,0.0996329785,0.381347224,Male/Female,g5510
8.115012,5.144938,18.3105360009,0.0010040728,0.0996329785,0.3779507947,Male/Female,g1366
-10.7690565,7.19373875,-18.2824027652,0.0010079115,0.0996329785,0.3750775277,Male/Female,g2087
-3.9842055,7.76095425,-18.2577258174,0.0010112955,0.0996329785,0.3725503264,Male/Female,g927
36.313753,58.6067305,18.2186235006,0.0010166903,0.0996329785,0.3685324933,Male/Female,g12915
3.262533,2.8780295,18.1797377069,0.0010220952,0.0996329785,0.3645206523,Male/Female,g9638
11.7358655,24.45475525,18.1753506343,0.0010227075,0.0996329785,0.3640670175,Male/Female,g5033
285.9210015,227.85647025,18.0915446948,0.0010345033,0.0996329785,0.3553612841,Male/Female,g16295
4.1384075,10.78323175,18.0543161449,0.0010398044,0.0996329785,0.3514694888,Male/Female,g19837
6.980437,24.910428,18.0261691927,0.0010438375,0.0996329785,0.3485169924,Male/Female,g4117
